,dist_to_furthest_kneighbor
24,2.659492832810248
99,2.286947004972814
33,2.1269976531722
41,2.0838314355159273
46,2.03027960760766
23,2.011595726327393
81,1.8804155324935004
34,1.8580454765495207
31,1.8413715103499957
38,1.8373612892701552
26,1.7940172183073502
21,1.7895089615364972
28,1.7713495345478425
22,1.7545166969531958
25,1.719209462757151
37,1.708909043049588
47,1.652055519221661
39,1.6441515299653715
42,1.631094912861599
40,1.6192581690741088
35,1.6192581690741088
36,1.6157240705658567
27,1.611726474845764
32,1.5544496548753153
30,1.5488951775272073
98,1.510030315052755
45,1.4737124531636827
43,1.4722569192174235
44,1.4642298753850451
85,1.452160884385021
67,1.4352565134907864
11,1.4318479122792984
82,1.4268467048513755
84,1.42651783681072
29,1.3601337858167828
86,1.3383230048758394
96,1.310379499897032
95,1.259310233482015
20,1.226233488994184
66,1.2250886492818673
91,1.150586580511384
69,1.141818957255241
65,1.1345220542566918
83,1.0901905814416095
62,1.043893746528784
3,1.0427721261806953
90,1.041914335937336
64,1.0404167969293308
6,1.032291958809435
5,1.0285722636486148
79,1.020522054297348
1,1.0194754748234598
4,1.0194754748234598
2,1.0178892914932818
12,1.016344388195245
70,0.9927920914143775
0,0.9826124075817682
80,0.9550366531437026
61,0.9507605206274122
71,0.9296575619830133
68,0.9181472593732086
73,0.9028964470933781
10,0.8693270400882296
72,0.8369668135431628
63,0.8268420383501589
74,0.8086314001222429
13,0.8055634609448333
92,0.7863053820644572
94,0.7350898265959068
87,0.7100066519571697
89,0.7095407003586381
93,0.6967826829637631
18,0.6713028841207013
7,0.6600253599152869
55,0.6393047749635378
76,0.6331847068329001
57,0.6264802066404348
56,0.6264802066404347
97,0.6220485370660715
78,0.6205090470169109
75,0.6205090470169108
16,0.6205090470168764
19,0.6205090470168764
53,0.6205090470168748
52,0.6078501726035956
48,0.6065545599094538
54,0.5880718612767395
49,0.5789694155691523
88,0.57529329025571
60,0.57529329025571
59,0.57529329025571
58,0.5665888640235694
8,0.5625282002198755
14,0.5497775302007953
17,0.5497775302007952
51,0.5243236570867428
77,0.5243236570867426
9,0.5243236570867426
15,0.5235436351546592
50,0.5116228155358905
